"","Country.Region","Confirmed","Death","life_expectancy"
"1","Afghanistan",48053,1935,64.83
"2","Albania",46061,965,78.57
"3","Algeria",90579,2564,76.88
"4","Andorra",7190,78,83.73
"5","Angola",15925,362,61.15
"6","Antigua and Barbuda",146,4,77.02
"7","Argentina",1482216,40431,76.67
"8","Armenia",145240,2416,75.09
"9","Australia",28011,908,83.44
"10","Austria",313688,4163,81.54
"11","Azerbaijan",162774,1793,73
"12","Bahamas",7585,163,73.92
"13","Bahrain",88632,347,77.29
"14","Bangladesh",485965,6967,72.59
"15","Barbados",291,7,79.19
"16","Belarus",154392,1238,74.79
"17","Belgium",600397,17692,81.63
"18","Belize",8805,183,74.62
"19","Benin",3090,44,61.77
"20","Bhutan",434,NA,71.78
"21","Bolivia",146385,9008,71.51
"22","Bosnia and Herzegovina",98603,3199,77.4
"23","Botswana",12501,37,69.59
"24","Brazil",6781799,179765,75.88
"25","Brunei",152,3,75.86
"26","Bulgaria",174568,5405,75.05
"27","Burkina Faso",3579,69,61.58
"28","Burundi",720,1,61.58
"29","Cambodia",357,NA,69.82
"30","Cameroon",24963,443,59.29
"31","Canada",445828,13130,82.43
"32","Cape Verde",11203,109,72.98
"33","Central African Republic",4927,63,53.28
"34","Chad",1739,102,54.24
"35","Chile",566440,15774,80.18
"36","China",94025,4748,76.91
"37","Colombia",1399911,38484,77.29
"38","Comoros",617,7,64.32
"39","Congo",6049,99,64.57
"40","Costa Rica",149815,1882,80.28
"41","Cote d'Ivoire",21590,133,57.78
"42","Croatia",163992,2420,78.49
"43","Cuba",9181,136,78.8
"44","Cyprus",13649,70,80.98
"45","Czechia",563333,9226,79.38
"46","Democratic Republic of Congo",13997,350,60.68
"47","Denmark",101027,918,80.9
"48","Djibouti",5717,61,67.11
"49","Dominica",85,NA,75
"50","Dominican Republic",151721,2358,74.08
"51","Ecuador",200379,13850,77.01
"52","Egypt",120147,6854,71.99
"53","El Salvador",40741,1180,73.32
"54","Equatorial Guinea",5183,85,58.74
"55","Eritrea",656,NA,66.32
"56","Estonia",16598,141,78.74
"57","Eswatini",6633,126,60.19
"58","Ethiopia",115360,1779,66.6
"59","Fiji",44,2,67.44
"60","Finland",29572,442,81.91
"61","France",2391643,57044,82.66
"62","Gabon",9300,62,66.47
"63","Gambia",3777,123,62.05
"64","Georgia",178953,1657,73.77
"65","Germany",1287092,21064,81.33
"66","Ghana",52738,326,64.07
"67","Greece",121253,3370,82.24
"68","Grenada",43,NA,72.4
"69","Guatemala",127786,4345,74.3
"70","Guinea",13368,79,61.6
"71","Guinea-Bissau",2444,44,58.32
"72","Guyana",5811,154,69.91
"73","Haiti",9434,233,64
"74","Honduras",113207,2968,75.27
"75","Hungary",265003,6451,76.88
"76","Iceland",5524,28,82.99
"77","India",9796744,142185,69.66
"78","Indonesia",598933,18336,71.72
"79","International",721,15,NA
"80","Iran",1083023,51496,76.68
"81","Iraq",571253,12526,70.6
"82","Ireland",75203,2117,82.3
"83","Israel",352397,2961,82.97
"84","Italy",1787147,62626,83.51
"85","Jamaica",11443,270,74.47
"86","Japan",172406,2395,84.63
"87","Jordan",253121,3250,74.53
"88","Kazakhstan",183630,2550,73.6
"89","Kenya",90305,1568,66.7
"90","Kosovo",45004,1161,NA
"91","Kuwait",145495,910,75.49
"92","Kyrgyzstan",76391,1306,71.45
"93","Laos",41,NA,67.92
"94","Latvia",23706,304,75.29
"95","Lebanon",142187,1170,78.93
"96","Lesotho",2178,44,54.33
"97","Liberia",1676,83,64.1
"98","Libya",89183,1273,72.91
"99","Liechtenstein",1441,19,82.49
"100","Lithuania",83883,735,75.93
"101","Luxembourg",40037,384,82.25
"102","Madagascar",17473,255,67.04
"103","Malawi",6051,186,64.26
"104","Malaysia",78499,396,76.16
"105","Maldives",13308,47,78.92
"106","Mali",5576,184,59.31
"107","Malta",10884,164,82.53
"108","Marshall Islands",4,NA,73.7
"109","Mauritania",10268,210,64.92
"110","Mauritius",515,10,74.99
"111","Mexico",1217126,112326,75.05
"112","Moldova",122685,2500,71.9
"113","Monaco",657,3,86.75
"114","Mongolia",905,NA,69.87
"115","Montenegro",40165,566,76.88
"116","Morocco",391529,6492,76.68
"117","Mozambique",16521,139,60.85
"118","Myanmar",104487,2201,67.13
"119","Namibia",15773,158,63.71
"120","Nepal",245650,1663,70.78
"121","Netherlands",595473,9985,82.28
"122","New Zealand",2092,25,82.29
"123","Nicaragua",5887,162,74.48
"124","Niger",2126,80,62.42
"125","Nigeria",71344,1190,54.69
"126","North Macedonia",70883,2051,75.8
"127","Norway",40023,382,82.4
"128","Oman",125669,1463,77.86
"129","Pakistan",432327,8653,67.27
"130","Palestine",104879,910,74.05
"131","Panama",185424,3287,78.51
"132","Papua New Guinea",684,7,64.5
"133","Paraguay",90958,1914,74.25
"134","Peru",979111,36499,76.74
"135","Philippines",445540,8701,71.23
"136","Poland",1102096,21630,78.73
"137","Portugal",335207,5278,82.05
"138","Qatar",140516,240,80.23
"139","Romania",539107,12948,76.05
"140","Russia",2546113,44769,72.58
"141","Rwanda",6349,53,69.02
"142","Saint Kitts and Nevis",26,NA,76.23
"143","Saint Lucia",270,2,76.2
"144","Saint Vincent and the Grenadines",91,NA,72.53
"145","Samoa",2,NA,73.32
"146","San Marino",1868,49,84.97
"147","Sao Tome and Principe",1009,17,70.39
"148","Saudi Arabia",359415,6012,75.13
"149","Senegal",16766,343,67.94
"150","Serbia",249224,2172,76
"151","Seychelles",184,NA,73.4
"152","Sierra Leone",2435,74,54.7
"153","Singapore",58297,29,83.62
"154","Slovakia",124921,1104,77.54
"155","Slovenia",91922,1949,81.32
"156","Solomon Islands",17,NA,73
"157","Somalia",4579,121,57.4
"158","South Africa",836764,22747,64.13
"159","South Korea",40786,572,83.03
"160","South Sudan",3181,62,57.85
"161","Spain",1720056,47344,83.56
"162","Sri Lanka",30613,146,76.98
"163","Sudan",20468,1319,65.31
"164","Suriname",5337,117,71.68
"165","Sweden",312728,7354,82.8
"166","Switzerland",368695,5824,83.78
"167","Syria",8787,476,72.7
"168","Taiwan",724,7,80.46
"169","Tajikistan",12588,88,71.1
"170","Tanzania",509,21,65.46
"171","Thailand",4180,60,77.15
"172","Timor",31,NA,69.5
"173","Togo",3182,66,61.04
"174","Trinidad and Tobago",6833,122,73.51
"175","Tunisia",107814,3758,76.7
"176","Turkey",955766,15751,77.69
"177","Uganda",25730,220,63.37
"178","Ukraine",881727,14981,72.06
"179","United Arab Emirates",181405,602,77.97
"180","United Kingdom",1792611,63179,81.32
"181","United States",15611014,292141,78.86
"182","Uruguay",8487,90,77.91
"183","Uzbekistan",74498,611,71.72
"184","Vanuatu",1,NA,70.47
"185","Vatican",27,NA,75.12
"186","Venezuela",106280,938,72.06
"187","Vietnam",1385,35,75.4
"188","World",69592554,1581856,72.58
"189","Yemen",2081,606,66.12
"190","Zambia",18091,364,63.89
"191","Zimbabwe",11081,305,61.49
